epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4713.7,1.55929,0.75227,1.06358,0.9767,0.98003,0.98647,0.56102,1.1573,0.49867,0.8246,0.005842,0.005842,0.005842
44,4822.01,1.55981,0.73756,1.06586,0.97909,0.97604,0.98551,0.56354,1.15821,0.55219,0.82334,0.005743,0.005743,0.005743
45,4931.18,1.55565,0.74189,1.06608,0.97258,0.97807,0.98447,0.56784,1.15026,0.45511,0.82178,0.005644,0.005644,0.005644
46,5040.31,1.55224,0.73958,1.06332,0.97747,0.97756,0.9849,0.57102,1.14858,0.5067,0.81847,0.005545,0.005545,0.005545
47,5149.03,1.55492,0.73665,1.06041,0.97747,0.97996,0.98623,0.56626,1.14701,0.45513,0.81878,0.005446,0.005446,0.005446
48,5257.26,1.5345,0.7291,1.05625,0.97713,0.97791,0.98635,0.57104,1.14952,0.4519,0.82216,0.005347,0.005347,0.005347
49,5366.15,1.53494,0.7226,1.05383,0.97542,0.97561,0.98715,0.57301,1.14508,0.45596,0.8183,0.005248,0.005248,0.005248
50,5475.27,1.53165,0.72825,1.05643,0.97556,0.97939,0.988,0.56827,1.14648,0.4651,0.81915,0.005149,0.005149,0.005149
51,5583.31,1.53484,0.72223,1.0534,0.97584,0.98135,0.98776,0.57624,1.14361,0.4939,0.81631,0.00505,0.00505,0.00505
52,5691.47,1.51711,0.71296,1.05092,0.97784,0.98112,0.98875,0.58296,1.13618,0.47859,0.815,0.004951,0.004951,0.004951
53,5799.1,1.53035,0.71876,1.05573,0.97882,0.98177,0.98936,0.58035,1.13024,0.4612,0.81499,0.004852,0.004852,0.004852
54,5906.44,1.51858,0.70962,1.04558,0.97572,0.97975,0.98852,0.58456,1.12984,0.46182,0.81251,0.004753,0.004753,0.004753
55,6013.61,1.52105,0.70469,1.05221,0.98106,0.98003,0.98876,0.58001,1.12793,0.4377,0.81333,0.004654,0.004654,0.004654
56,6120.87,1.51097,0.69846,1.04685,0.97645,0.9824,0.98955,0.5843,1.12741,0.43728,0.81231,0.004555,0.004555,0.004555
57,6227.99,1.51377,0.70228,1.04479,0.98233,0.97387,0.98788,0.58397,1.12728,0.43837,0.81259,0.004456,0.004456,0.004456
58,6335.5,1.5004,0.7022,1.0477,0.97999,0.98129,0.98852,0.58684,1.12458,0.43531,0.81101,0.004357,0.004357,0.004357
59,6443.33,1.50157,0.6947,1.04279,0.9824,0.98064,0.98811,0.58779,1.11902,0.45032,0.80923,0.004258,0.004258,0.004258
60,6551.46,1.495,0.68561,1.03945,0.97583,0.9832,0.98798,0.5825,1.119,0.44855,0.80888,0.004159,0.004159,0.004159
61,6658.53,1.48755,0.6837,1.04195,0.98129,0.98252,0.98917,0.58876,1.11441,0.42753,0.80682,0.00406,0.00406,0.00406
62,6765.51,1.47937,0.67968,1.0333,0.97965,0.98286,0.98919,0.59062,1.11209,0.42659,0.8049,0.003961,0.003961,0.003961
63,6872.24,1.48258,0.67895,1.03335,0.98069,0.98145,0.9892,0.59492,1.10794,0.42555,0.80484,0.003862,0.003862,0.003862
64,6979.31,1.47959,0.67858,1.03472,0.98173,0.98084,0.98959,0.59749,1.10587,0.42417,0.80488,0.003763,0.003763,0.003763
65,7086.71,1.46132,0.66866,1.03055,0.97894,0.98325,0.98932,0.59412,1.10541,0.42603,0.80375,0.003664,0.003664,0.003664
66,7193.3,1.46848,0.6696,1.0325,0.98382,0.981,0.98885,0.59402,1.10601,0.42193,0.80416,0.003565,0.003565,0.003565
67,7300.7,1.46033,0.66936,1.02944,0.97981,0.98381,0.98956,0.59509,1.10483,0.4244,0.80384,0.003466,0.003466,0.003466
68,7407.36,1.46288,0.6654,1.02892,0.98236,0.98122,0.98976,0.59794,1.09708,0.41936,0.80162,0.003367,0.003367,0.003367
69,7513.25,1.45441,0.66277,1.02847,0.97604,0.99013,0.98985,0.59814,1.0978,0.42461,0.80073,0.003268,0.003268,0.003268
70,7619.28,1.45052,0.65766,1.02244,0.98079,0.98558,0.98979,0.59633,1.09549,0.4216,0.79926,0.003169,0.003169,0.003169
71,7725.79,1.45254,0.65663,1.02331,0.98275,0.98436,0.98886,0.59792,1.09715,0.4209,0.79996,0.00307,0.00307,0.00307
72,7832.07,1.44369,0.65749,1.02037,0.98097,0.98454,0.9887,0.59709,1.09276,0.41848,0.79872,0.002971,0.002971,0.002971
73,7938.18,1.42784,0.64653,1.0185,0.9809,0.985,0.99022,0.60145,1.09406,0.41507,0.79816,0.002872,0.002872,0.002872
74,8045.16,1.43046,0.65118,1.02303,0.98346,0.98248,0.99023,0.60074,1.09724,0.41337,0.79945,0.002773,0.002773,0.002773
75,8152.01,1.42725,0.64493,1.02058,0.98218,0.98352,0.98999,0.60161,1.09609,0.41479,0.79841,0.002674,0.002674,0.002674
76,8260.23,1.42071,0.63916,1.01609,0.98215,0.98499,0.98994,0.60022,1.09352,0.41828,0.79738,0.002575,0.002575,0.002575
77,8369.08,1.4157,0.63735,1.01417,0.98096,0.98428,0.99016,0.60428,1.09016,0.41493,0.79614,0.002476,0.002476,0.002476
